"Drug","Neuroticism","Extraversion","Openness","Agreeableness","Cscore","Usage","Education"
"Amphet","20","29","15","13","17","CL0","Trade School"
"Amyl","20","29","15","13","17","CL0","Trade School"
"Benzos","20","29","15","13","17","CL0","Trade School"
"Caff","20","29","15","13","17","CL6","Trade School"
"Cannabis","20","29","15","13","17","CL3","Trade School"
"Choc","20","29","15","13","17","CL4","Trade School"
"Coke","20","29","15","13","17","CL0","Trade School"
"Crack","20","29","15","13","17","CL0","Trade School"
"Ecstasy","20","29","15","13","17","CL0","Trade School"
"Heroin","20","29","15","13","17","CL0","Trade School"
"Ketamine","20","29","15","13","17","CL0","Trade School"
"Legalh","20","29","15","13","17","CL0","Trade School"
"LSD","20","29","15","13","17","CL0","Trade School"
"Meth","20","29","15","13","17","CL0","Trade School"
"Mushrooms","20","29","15","13","17","CL1","Trade School"
"Nicotine","20","29","15","13","17","CL0","Trade School"
"Semer","20","29","15","13","17","CL0","Trade School"
"VSA","20","29","15","13","17","CL0","Trade School"
"Alcohol","23","18","21","28","29","CL4","Masters"
"Amphet","23","18","21","28","29","CL0","Masters"
"Amyl","23","18","21","28","29","CL0","Masters"
"Benzos","23","18","21","28","29","CL3","Masters"
"Caff","23","18","21","28","29","CL5","Masters"
"Cannabis","23","18","21","28","29","CL2","Masters"
"Choc","23","18","21","28","29","CL4","Masters"
"Coke","23","18","21","28","29","CL2","Masters"
"Crack","23","18","21","28","29","CL0","Masters"
"Ecstasy","23","18","21","28","29","CL0","Masters"
"Heroin","23","18","21","28","29","CL0","Masters"
"Ketamine","23","18","21","28","29","CL2","Masters"
"Legalh","23","18","21","28","29","CL0","Masters"
"LSD","23","18","21","28","29","CL0","Masters"
"Meth","23","18","21","28","29","CL0","Masters"
"Mushrooms","23","18","21","28","29","CL0","Masters"
"Nicotine","23","18","21","28","29","CL2","Masters"
"Semer","23","18","21","28","29","CL0","Masters"
"VSA","23","18","21","28","29","CL0","Masters"
"Alcohol","32","12","18","22","33","CL4","PhD"
"Amphet","32","12","18","22","33","CL1","PhD"
"Amyl","32","12","18","22","33","CL1","PhD"
"Benzos","32","12","18","22","33","CL0","PhD"
"Caff","32","12","18","22","33","CL6","PhD"
"Cannabis","32","12","18","22","33","CL3","PhD"
"Choc","32","12","18","22","33","CL6","PhD"
"Coke","32","12","18","22","33","CL0","PhD"
"Crack","32","12","18","22","33","CL0","PhD"
"Ecstasy","32","12","18","22","33","CL1","PhD"
"Heroin","32","12","18","22","33","CL0","PhD"
"Ketamine","32","12","18","22","33","CL0","PhD"
"Legalh","32","12","18","22","33","CL1","PhD"
"LSD","32","12","18","22","33","CL0","PhD"
"Meth","32","12","18","22","33","CL0","PhD"
"Mushrooms","32","12","18","22","33","CL2","PhD"
"Nicotine","32","12","18","22","33","CL2","PhD"
"Semer","32","12","18","22","33","CL0","PhD"
"VSA","32","12","18","22","33","CL0","PhD"
"Alcohol","18","22","10","36","35","CL2","18"
"Amphet","18","22","10","36","35","CL0","18"
"Amyl","18","22","10","36","35","CL0","18"
"Benzos","18","22","10","36","35","CL0","18"
"Caff","18","22","10","36","35","CL6","18"
"Cannabis","18","22","10","36","35","CL0","18"
"Choc","18","22","10","36","35","CL4","18"
"Coke","18","22","10","36","35","CL0","18"
"Crack","18","22","10","36","35","CL0","18"
"Ecstasy","18","22","10","36","35","CL0","18"
"Heroin","18","22","10","36","35","CL0","18"
"Ketamine","18","22","10","36","35","CL0","18"
"Legalh","18","22","10","36","35","CL0","18"
"LSD","18","22","10","36","35","CL0","18"
"Meth","18","22","10","36","35","CL0","18"
"Mushrooms","18","22","10","36","35","CL0","18"
"Nicotine","18","22","10","36","35","CL6","18"
"Semer","18","22","10","36","35","CL0","18"
"VSA","18","22","10","36","35","CL0","18"
"Alcohol","20","16","18","22","31","CL6","Masters"
"Amphet","20","16","18","22","31","CL0","Masters"
"Amyl","20","16","18","22","31","CL0","Masters"
"Benzos","20","16","18","22","31","CL0","Masters"
"Caff","20","16","18","22","31","CL6","Masters"
"Cannabis","20","16","18","22","31","CL1","Masters"
"Choc","20","16","18","22","31","CL5","Masters"
"Coke","20","16","18","22","31","CL0","Masters"
"Crack","20","16","18","22","31","CL0","Masters"
"Ecstasy","20","16","18","22","31","CL0","Masters"
"Heroin","20","16","18","22","31","CL0","Masters"
"Ketamine","20","16","18","22","31","CL0","Masters"
"Legalh","20","16","18","22","31","CL0","Masters"
"LSD","20","16","18","22","31","CL0","Masters"
"Meth","20","16","18","22","31","CL0","Masters"
"Mushrooms","20","16","18","22","31","CL0","Masters"
"Nicotine","20","16","18","22","31","CL6","Masters"
"Semer","20","16","18","22","31","CL0","Masters"
"VSA","20","16","18","22","31","CL0","Masters"
"Alcohol","13","36","15","22","35","CL5","16"
"Amphet","13","36","15","22","35","CL0","16"
"Amyl","13","36","15","22","35","CL0","16"
"Benzos","13","36","15","22","35","CL0","16"
"Caff","13","36","15","22","35","CL6","16"
"Cannabis","13","36","15","22","35","CL0","16"
"Choc","13","36","15","22","35","CL4","16"
"Coke","13","36","15","22","35","CL0","16"
"Crack","13","36","15","22","35","CL0","16"
"Ecstasy","13","36","15","22","35","CL0","16"
"Heroin","13","36","15","22","35","CL0","16"
"Ketamine","13","36","15","22","35","CL0","16"
"Legalh","13","36","15","22","35","CL0","16"
"LSD","13","36","15","22","35","CL0","16"
"Meth","13","36","15","22","35","CL0","16"
"Mushrooms","13","36","15","22","35","CL0","16"
"Nicotine","13","36","15","22","35","CL0","16"
"Semer","13","36","15","22","35","CL0","16"
"VSA","13","36","15","22","35","CL0","16"
"Alcohol","31","39","14","29","32","CL4","Trade School"
"Amphet","31","39","14","29","32","CL0","Trade School"
"Amyl","31","39","14","29","32","CL0","Trade School"
"Benzos","31","39","14","29","32","CL0","Trade School"
"Caff","31","39","14","29","32","CL6","Trade School"
"Cannabis","31","39","14","29","32","CL0","Trade School"
"Choc","31","39","14","29","32","CL6","Trade School"
"Coke","31","39","14","29","32","CL0","Trade School"
"Crack","31","39","14","29","32","CL0","Trade School"
"Ecstasy","31","39","14","29","32","CL0","Trade School"
"Heroin","31","39","14","29","32","CL0","Trade School"
"Ketamine","31","39","14","29","32","CL0","Trade School"
"Legalh","31","39","14","29","32","CL0","Trade School"
"LSD","31","39","14","29","32","CL0","Trade School"
"Meth","31","39","14","29","32","CL0","Trade School"
"Mushrooms","31","39","14","29","32","CL0","Trade School"
"Nicotine","31","39","14","29","32","CL6","Trade School"
"Semer","31","39","14","29","32","CL0","Trade School"
"VSA","31","39","14","29","32","CL0","Trade School"
"Alcohol","22","24","11","28","26","CL6","Masters"
"Amphet","22","24","11","28","26","CL1","Masters"
"Amyl","22","24","11","28","26","CL0","Masters"
"Benzos","22","24","11","28","26","CL1","Masters"
"Caff","22","24","11","28","26","CL6","Masters"
"Cannabis","22","24","11","28","26","CL1","Masters"
"Choc","22","24","11","28","26","CL6","Masters"
"Coke","22","24","11","28","26","CL0","Masters"
"Crack","22","24","11","28","26","CL0","Masters"
"Ecstasy","22","24","11","28","26","CL0","Masters"
"Heroin","22","24","11","28","26","CL0","Masters"
"Ketamine","22","24","11","28","26","CL0","Masters"
"Legalh","22","24","11","28","26","CL0","Masters"
"LSD","22","24","11","28","26","CL0","Masters"
"Meth","22","24","11","28","26","CL0","Masters"
"Mushrooms","22","24","11","28","26","CL0","Masters"
"Nicotine","22","24","11","28","26","CL6","Masters"
"Semer","22","24","11","28","26","CL0","Masters"
"VSA","22","24","11","28","26","CL0","Masters"
"Alcohol","15","29","13","19","36","CL5","University Degree"
"Amphet","15","29","13","19","36","CL0","University Degree"
"Amyl","15","29","13","19","36","CL1","University Degree"
"Benzos","15","29","13","19","36","CL0","University Degree"
"Caff","15","29","13","19","36","CL6","University Degree"
"Cannabis","15","29","13","19","36","CL2","University Degree"
"Choc","15","29","13","19","36","CL5","University Degree"
"Coke","15","29","13","19","36","CL2","University Degree"
"Crack","15","29","13","19","36","CL0","University Degree"
"Ecstasy","15","29","13","19","36","CL0","University Degree"
"Heroin","15","29","13","19","36","CL0","University Degree"
"Ketamine","15","29","13","19","36","CL0","University Degree"
"Legalh","15","29","13","19","36","CL0","University Degree"
"LSD","15","29","13","19","36","CL0","University Degree"
"Meth","15","29","13","19","36","CL0","University Degree"
"Mushrooms","15","29","13","19","36","CL0","University Degree"
"Nicotine","15","29","13","19","36","CL2","University Degree"
"Semer","15","29","13","19","36","CL0","University Degree"
"VSA","15","29","13","19","36","CL1","University Degree"
"Alcohol","13","24","22","11","21","CL5","Some College"
"Amphet","13","24","22","11","21","CL1","Some College"
"Amyl","13","24","22","11","21","CL0","Some College"
"Benzos","13","24","22","11","21","CL0","Some College"
"Caff","13","24","22","11","21","CL6","Some College"
"Cannabis","13","24","22","11","21","CL4","Some College"
"Choc","13","24","22","11","21","CL5","Some College"
"Coke","13","24","22","11","21","CL2","Some College"
"Crack","13","24","22","11","21","CL0","Some College"
"Ecstasy","13","24","22","11","21","CL3","Some College"
"Heroin","13","24","22","11","21","CL0","Some College"
"Ketamine","13","24","22","11","21","CL0","Some College"
"Legalh","13","24","22","11","21","CL0","Some College"
"LSD","13","24","22","11","21","CL1","Some College"
"Meth","13","24","22","11","21","CL0","Some College"
"Mushrooms","13","24","22","11","21","CL2","Some College"
"Nicotine","13","24","22","11","21","CL6","Some College"
"Semer","13","24","22","11","21","CL0","Some College"
"VSA","13","24","22","11","21","CL0","Some College"
"Alcohol","45","25","24","13","19","CL5","University Degree"
"Amphet","45","25","24","13","19","CL1","University Degree"
"Amyl","45","25","24","13","19","CL0","University Degree"
"Benzos","45","25","24","13","19","CL4","University Degree"
"Caff","45","25","24","13","19","CL6","University Degree"
"Cannabis","45","25","24","13","19","CL3","University Degree"
"Choc","45","25","24","13","19","CL5","University Degree"
"Coke","45","25","24","13","19","CL1","University Degree"
"Crack","45","25","24","13","19","CL0","University Degree"
"Ecstasy","45","25","24","13","19","CL0","University Degree"
"Heroin","45","25","24","13","19","CL0","University Degree"
"Ketamine","45","25","24","13","19","CL0","University Degree"
"Legalh","45","25","24","13","19","CL0","University Degree"
"LSD","45","25","24","13","19","CL1","University Degree"
"Meth","45","25","24","13","19","CL1","University Degree"
"Mushrooms","45","25","24","13","19","CL1","University Degree"
"Nicotine","45","25","24","13","19","CL6","University Degree"
"Semer","45","25","24","13","19","CL0","University Degree"
"VSA","45","25","24","13","19","CL0","University Degree"
"Alcohol","17","29","21","30","41","CL1","Trade School"
"Amphet","17","29","21","30","41","CL0","Trade School"
"Amyl","17","29","21","30","41","CL0","Trade School"
"Benzos","17","29","21","30","41","CL0","Trade School"
"Caff","17","29","21","30","41","CL5","Trade School"
"Cannabis","17","29","21","30","41","CL0","Trade School"
"Choc","17","29","21","30","41","CL0","Trade School"
"Coke","17","29","21","30","41","CL0","Trade School"
"Crack","17","29","21","30","41","CL0","Trade School"
"Ecstasy","17","29","21","30","41","CL0","Trade School"
"Heroin","17","29","21","30","41","CL0","Trade School"
"Ketamine","17","29","21","30","41","CL0","Trade School"
"Legalh","17","29","21","30","41","CL0","Trade School"
"LSD","17","29","21","30","41","CL0","Trade School"
"Meth","17","29","21","30","41","CL0","Trade School"
"Mushrooms","17","29","21","30","41","CL0","Trade School"
"Nicotine","17","29","21","30","41","CL1","Trade School"
"Semer","17","29","21","30","41","CL0","Trade School"
"VSA","17","29","21","30","41","CL0","Trade School"
"Alcohol","16","33","24","20","35","CL6","Trade School"
"Amphet","16","33","24","20","35","CL0","Trade School"
"Amyl","16","33","24","20","35","CL0","Trade School"
"Benzos","16","33","24","20","35","CL0","Trade School"
"Caff","16","33","24","20","35","CL6","Trade School"
"Cannabis","16","33","24","20","35","CL0","Trade School"
"Choc","16","33","24","20","35","CL6","Trade School"
"Coke","16","33","24","20","35","CL0","Trade School"
"Crack","16","33","24","20","35","CL0","Trade School"
"Ecstasy","16","33","24","20","35","CL0","Trade School"
"Heroin","16","33","24","20","35","CL0","Trade School"
"Ketamine","16","33","24","20","35","CL0","Trade School"
"Legalh","16","33","24","20","35","CL0","Trade School"
"LSD","16","33","24","20","35","CL0","Trade School"
"Meth","16","33","24","20","35","CL0","Trade School"
"Mushrooms","16","33","24","20","35","CL0","Trade School"
"Nicotine","16","33","24","20","35","CL6","Trade School"
"Semer","16","33","24","20","35","CL0","Trade School"
"VSA","16","33","24","20","35","CL0","Trade School"
"Alcohol"," 8","13","10","17","32","CL5","University Degree"
"Amphet"," 8","13","10","17","32","CL2","University Degree"
"Amyl"," 8","13","10","17","32","CL2","University Degree"
"Benzos"," 8","13","10","17","32","CL0","University Degree"
"Caff"," 8","13","10","17","32","CL6","University Degree"
"Cannabis"," 8","13","10","17","32","CL1","University Degree"
"Choc"," 8","13","10","17","32","CL5","University Degree"
"Coke"," 8","13","10","17","32","CL2","University Degree"
"Crack"," 8","13","10","17","32","CL0","University Degree"
"Ecstasy"," 8","13","10","17","32","CL1","University Degree"
"Heroin"," 8","13","10","17","32","CL0","University Degree"
"Ketamine"," 8","13","10","17","32","CL0","University Degree"
"Legalh"," 8","13","10","17","32","CL0","University Degree"
"LSD"," 8","13","10","17","32","CL0","University Degree"
"Meth"," 8","13","10","17","32","CL0","University Degree"
"Mushrooms"," 8","13","10","17","32","CL0","University Degree"
"Nicotine"," 8","13","10","17","32","CL0","University Degree"
"Semer"," 8","13","10","17","32","CL0","University Degree"
"VSA"," 8","13","10","17","32","CL0","University Degree"
"Alcohol","11","18"," 9","26","30","CL6","Some College"
"Amphet","11","18"," 9","26","30","CL0","Some College"
"Amyl","11","18"," 9","26","30","CL0","Some College"
"Benzos","11","18"," 9","26","30","CL1","Some College"
"Caff","11","18"," 9","26","30","CL6","Some College"
"Cannabis","11","18"," 9","26","30","CL3","Some College"
"Choc","11","18"," 9","26","30","CL5","Some College"
"Coke","11","18"," 9","26","30","CL0","Some College"
"Crack","11","18"," 9","26","30","CL0","Some College"
"Ecstasy","11","18"," 9","26","30","CL0","Some College"
"Heroin","11","18"," 9","26","30","CL0","Some College"
"Ketamine","11","18"," 9","26","30","CL0","Some College"
"Legalh","11","18"," 9","26","30","CL0","Some College"
"LSD","11","18"," 9","26","30","CL0","Some College"
"Meth","11","18"," 9","26","30","CL0","Some College"
"Mushrooms","11","18"," 9","26","30","CL0","Some College"
"Nicotine","11","18"," 9","26","30","CL6","Some College"
"Semer","11","18"," 9","26","30","CL0","Some College"
"VSA","11","18"," 9","26","30","CL0","Some College"
"Alcohol","30","15","19","21","14","CL6","16"
"Amphet","30","15","19","21","14","CL1","16"
"Amyl","30","15","19","21","14","CL1","16"
"Benzos","30","15","19","21","14","CL0","16"
"Caff","30","15","19","21","14","CL6","16"
"Cannabis","30","15","19","21","14","CL6","16"
"Choc","30","15","19","21","14","CL4","16"
"Coke","30","15","19","21","14","CL1","16"
"Crack","30","15","19","21","14","CL0","16"
"Ecstasy","30","15","19","21","14","CL1","16"
"Heroin","30","15","19","21","14","CL0","16"
"Ketamine","30","15","19","21","14","CL2","16"
"Legalh","30","15","19","21","14","CL0","16"
"LSD","30","15","19","21","14","CL1","16"
"Meth","30","15","19","21","14","CL0","16"
"Mushrooms","30","15","19","21","14","CL1","16"
"Nicotine","30","15","19","21","14","CL6","16"
"Semer","30","15","19","21","14","CL0","16"
"VSA","30","15","19","21","14","CL0","16"
"Alcohol","38","23","20","11","13","CL6","University Degree"
"Amphet","38","23","20","11","13","CL2","University Degree"
"Amyl","38","23","20","11","13","CL0","University Degree"
"Benzos","38","23","20","11","13","CL2","University Degree"
"Caff","38","23","20","11","13","CL6","University Degree"
"Cannabis","38","23","20","11","13","CL3","University Degree"
"Choc","38","23","20","11","13","CL6","University Degree"
"Coke","38","23","20","11","13","CL2","University Degree"
"Crack","38","23","20","11","13","CL0","University Degree"
"Ecstasy","38","23","20","11","13","CL2","University Degree"
"Heroin","38","23","20","11","13","CL0","University Degree"
"Ketamine","38","23","20","11","13","CL0","University Degree"
"Legalh","38","23","20","11","13","CL2","University Degree"
"LSD","38","23","20","11","13","CL1","University Degree"
"Meth","38","23","20","11","13","CL0","University Degree"
"Mushrooms","38","23","20","11","13","CL1","University Degree"
"Nicotine","38","23","20","11","13","CL0","University Degree"
"Semer","38","23","20","11","13","CL0","University Degree"
"VSA","38","23","20","11","13","CL0","University Degree"
"Alcohol","21","11"," 4","11","30","CL4","Trade School"
"Amphet","21","11"," 4","11","30","CL1","Trade School"
"Amyl","21","11"," 4","11","30","CL0","Trade School"
"Benzos","21","11"," 4","11","30","CL0","Trade School"
"Caff","21","11"," 4","11","30","CL6","Trade School"
"Cannabis","21","11"," 4","11","30","CL1","Trade School"
"Choc","21","11"," 4","11","30","CL6","Trade School"
"Coke","21","11"," 4","11","30","CL0","Trade School"
"Crack","21","11"," 4","11","30","CL0","Trade School"
"Ecstasy","21","11"," 4","11","30","CL1","Trade School"
"Heroin","21","11"," 4","11","30","CL0","Trade School"
"Ketamine","21","11"," 4","11","30","CL0","Trade School"
"Legalh","21","11"," 4","11","30","CL0","Trade School"
"LSD","21","11"," 4","11","30","CL0","Trade School"
"Meth","21","11"," 4","11","30","CL6","Trade School"
"Mushrooms","21","11"," 4","11","30","CL0","Trade School"
"Nicotine","21","11"," 4","11","30","CL1","Trade School"
"Semer","21","11"," 4","11","30","CL0","Trade School"
"VSA","21","11"," 4","11","30","CL0","Trade School"
"Alcohol","17","29","26","34","16","CL6","Trade School"
"Amphet","17","29","26","34","16","CL1","Trade School"
"Amyl","17","29","26","34","16","CL1","Trade School"
"Benzos","17","29","26","34","16","CL0","Trade School"
"Caff","17","29","26","34","16","CL6","Trade School"
"Cannabis","17","29","26","34","16","CL2","Trade School"
"Choc","17","29","26","34","16","CL6","Trade School"
"Coke","17","29","26","34","16","CL0","Trade School"
"Crack","17","29","26","34","16","CL0","Trade School"
"Ecstasy","17","29","26","34","16","CL0","Trade School"
"Heroin","17","29","26","34","16","CL0","Trade School"
"Ketamine","17","29","26","34","16","CL0","Trade School"
"Legalh","17","29","26","34","16","CL0","Trade School"
"LSD","17","29","26","34","16","CL1","Trade School"
"Meth","17","29","26","34","16","CL0","Trade School"
"Mushrooms","17","29","26","34","16","CL1","Trade School"
"Nicotine","17","29","26","34","16","CL3","Trade School"
"Semer","17","29","26","34","16","CL0","Trade School"
"VSA","17","29","26","34","16","CL0","Trade School"
"Alcohol","14","27","13","20","36","CL5","<16"
"Amphet","14","27","13","20","36","CL0","<16"
"Amyl","14","27","13","20","36","CL0","<16"
"Benzos","14","27","13","20","36","CL0","<16"
"Caff","14","27","13","20","36","CL6","<16"
"Cannabis","14","27","13","20","36","CL1","<16"
"Choc","14","27","13","20","36","CL6","<16"
"Coke","14","27","13","20","36","CL0","<16"
"Crack","14","27","13","20","36","CL0","<16"
"Ecstasy","14","27","13","20","36","CL0","<16"
"Heroin","14","27","13","20","36","CL0","<16"
"Ketamine","14","27","13","20","36","CL0","<16"
"Legalh","14","27","13","20","36","CL0","<16"
"LSD","14","27","13","20","36","CL0","<16"
"Meth","14","27","13","20","36","CL0","<16"
"Mushrooms","14","27","13","20","36","CL1","<16"
"Nicotine","14","27","13","20","36","CL1","<16"
"Semer","14","27","13","20","36","CL0","<16"
"VSA","14","27","13","20","36","CL0","<16"
"Alcohol","29","17","15","31","18","CL4","University Degree"
"Amphet","29","17","15","31","18","CL0","University Degree"
"Amyl","29","17","15","31","18","CL0","University Degree"
"Benzos","29","17","15","31","18","CL0","University Degree"
"Caff","29","17","15","31","18","CL5","University Degree"
"Cannabis","29","17","15","31","18","CL0","University Degree"
"Choc","29","17","15","31","18","CL6","University Degree"
"Coke","29","17","15","31","18","CL0","University Degree"
"Crack","29","17","15","31","18","CL0","University Degree"
"Ecstasy","29","17","15","31","18","CL0","University Degree"
"Heroin","29","17","15","31","18","CL0","University Degree"
"Ketamine","29","17","15","31","18","CL0","University Degree"
"Legalh","29","17","15","31","18","CL0","University Degree"
"LSD","29","17","15","31","18","CL0","University Degree"
"Meth","29","17","15","31","18","CL0","University Degree"
"Mushrooms","29","17","15","31","18","CL0","University Degree"
"Nicotine","29","17","15","31","18","CL0","University Degree"
"Semer","29","17","15","31","18","CL0","University Degree"
"VSA","29","17","15","31","18","CL0","University Degree"
"Alcohol","40"," 1","12","26","17","CL6","16"
"Amphet","40"," 1","12","26","17","CL2","16"
"Amyl","40"," 1","12","26","17","CL1","16"
"Benzos","40"," 1","12","26","17","CL5","16"
"Caff","40"," 1","12","26","17","CL6","16"
"Cannabis","40"," 1","12","26","17","CL2","16"
"Choc","40"," 1","12","26","17","CL6","16"
"Coke","40"," 1","12","26","17","CL2","16"
"Crack","40"," 1","12","26","17","CL0","16"
"Ecstasy","40"," 1","12","26","17","CL0","16"
"Heroin","40"," 1","12","26","17","CL1","16"
"Ketamine","40"," 1","12","26","17","CL0","16"
"Legalh","40"," 1","12","26","17","CL0","16"
"LSD","40"," 1","12","26","17","CL1","16"
"Meth","40"," 1","12","26","17","CL0","16"
"Mushrooms","40"," 1","12","26","17","CL0","16"
"Nicotine","40"," 1","12","26","17","CL6","16"
"Semer","40"," 1","12","26","17","CL0","16"
"VSA","40"," 1","12","26","17","CL1","16"
"Alcohol","23","28","29","29","34","CL5","University Degree"
"Amphet","23","28","29","29","34","CL1","University Degree"
"Amyl","23","28","29","29","34","CL1","University Degree"
"Benzos","23","28","29","29","34","CL1","University Degree"
"Caff","23","28","29","29","34","CL5","University Degree"
"Cannabis","23","28","29","29","34","CL1","University Degree"
"Choc","23","28","29","29","34","CL5","University Degree"
"Coke","23","28","29","29","34","CL1","University Degree"
"Crack","23","28","29","29","34","CL0","University Degree"
"Ecstasy","23","28","29","29","34","CL1","University Degree"
"Heroin","23","28","29","29","34","CL0","University Degree"
"Ketamine","23","28","29","29","34","CL0","University Degree"
"Legalh","23","28","29","29","34","CL0","University Degree"
"LSD","23","28","29","29","34","CL1","University Degree"
"Meth","23","28","29","29","34","CL0","University Degree"
"Mushrooms","23","28","29","29","34","CL1","University Degree"
"Nicotine","23","28","29","29","34","CL6","University Degree"
"Semer","23","28","29","29","34","CL0","University Degree"
"VSA","23","28","29","29","34","CL0","University Degree"
"Alcohol","17","21","12","30","25","CL5","Some College"
"Amphet","17","21","12","30","25","CL1","Some College"
"Amyl","17","21","12","30","25","CL2","Some College"
"Benzos","17","21","12","30","25","CL0","Some College"
"Caff","17","21","12","30","25","CL6","Some College"
"Cannabis","17","21","12","30","25","CL1","Some College"
"Choc","17","21","12","30","25","CL5","Some College"
"Coke","17","21","12","30","25","CL2","Some College"
"Crack","17","21","12","30","25","CL0","Some College"
"Ecstasy","17","21","12","30","25","CL2","Some College"
"Heroin","17","21","12","30","25","CL0","Some College"
"Ketamine","17","21","12","30","25","CL0","Some College"
"Legalh","17","21","12","30","25","CL3","Some College"
"LSD","17","21","12","30","25","CL2","Some College"
"Meth","17","21","12","30","25","CL0","Some College"
"Mushrooms","17","21","12","30","25","CL2","Some College"
"Nicotine","17","21","12","30","25","CL1","Some College"
"Semer","17","21","12","30","25","CL0","Some College"
"VSA","17","21","12","30","25","CL0","Some College"
"Alcohol","24","12"," 1","19","29","CL6","18"
"Amphet","24","12"," 1","19","29","CL0","18"
"Amyl","24","12"," 1","19","29","CL0","18"
"Benzos","24","12"," 1","19","29","CL2","18"
"Caff","24","12"," 1","19","29","CL6","18"
"Cannabis","24","12"," 1","19","29","CL1","18"
"Choc","24","12"," 1","19","29","CL6","18"
"Coke","24","12"," 1","19","29","CL0","18"
"Crack","24","12"," 1","19","29","CL0","18"
"Ecstasy","24","12"," 1","19","29","CL0","18"
"Heroin","24","12"," 1","19","29","CL0","18"
"Ketamine","24","12"," 1","19","29","CL0","18"
"Legalh","24","12"," 1","19","29","CL0","18"
"LSD","24","12"," 1","19","29","CL0","18"
"Meth","24","12"," 1","19","29","CL0","18"
"Mushrooms","24","12"," 1","19","29","CL0","18"
"Nicotine","24","12"," 1","19","29","CL6","18"
"Semer","24","12"," 1","19","29","CL0","18"
"VSA","24","12"," 1","19","29","CL0","18"
"Alcohol","30","15","21","24"," 8","CL6","University Degree"
"Amphet","30","15","21","24"," 8","CL1","University Degree"
"Amyl","30","15","21","24"," 8","CL1","University Degree"
"Benzos","30","15","21","24"," 8","CL2","University Degree"
"Caff","30","15","21","24"," 8","CL6","University Degree"
"Cannabis","30","15","21","24"," 8","CL6","University Degree"
"Choc","30","15","21","24"," 8","CL5","University Degree"
"Coke","30","15","21","24"," 8","CL1","University Degree"
"Crack","30","15","21","24"," 8","CL0","University Degree"
"Ecstasy","30","15","21","24"," 8","CL0","University Degree"
"Heroin","30","15","21","24"," 8","CL0","University Degree"
"Ketamine","30","15","21","24"," 8","CL0","University Degree"
"Legalh","30","15","21","24"," 8","CL2","University Degree"
"LSD","30","15","21","24"," 8","CL1","University Degree"
"Meth","30","15","21","24"," 8","CL0","University Degree"
"Mushrooms","30","15","21","24"," 8","CL3","University Degree"
"Nicotine","30","15","21","24"," 8","CL2","University Degree"
"Semer","30","15","21","24"," 8","CL0","University Degree"
"VSA","30","15","21","24"," 8","CL0","University Degree"
"Alcohol","25","13","16","26","33","CL6","Masters"
"Amphet","25","13","16","26","33","CL0","Masters"
"Amyl","25","13","16","26","33","CL0","Masters"
"Benzos","25","13","16","26","33","CL0","Masters"
"Caff","25","13","16","26","33","CL4","Masters"
"Cannabis","25","13","16","26","33","CL1","Masters"
"Choc","25","13","16","26","33","CL5","Masters"
"Coke","25","13","16","26","33","CL0","Masters"
"Crack","25","13","16","26","33","CL0","Masters"
"Ecstasy","25","13","16","26","33","CL0","Masters"
"Heroin","25","13","16","26","33","CL0","Masters"
"Ketamine","25","13","16","26","33","CL0","Masters"
"Legalh","25","13","16","26","33","CL0","Masters"
